EC_ID	KEGG_ID	Name	Consumption_category
1.4.1.4	K00262	K00262: glutamate dehydrogenase (NADP+) [EC:1.4.1.4]	plant
1.4.1.4	K00265	K00265: glutamate synthase (NADPH/NADH) large chain [EC:1.4.1.13 1.4.1.14]	plant
1.4.1.4	K00266	K00266: glutamate synthase (NADPH/NADH) small chain [EC:1.4.1.13 1.4.1.14]	plant
1.5.1.7	K00290	"K00290: saccharopine dehydrogenase (NAD+, L-lysine forming) [EC:1.5.1.7]"	plant
2.1.1.13	K00548	K00548: 5-methyltetrahydrofolate--homocysteine methyltransferase [EC:2.1.1.13]	plant
2.1.1.14	K00549	K00549: 5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase [EC:2.1.1.14]	meat
2.1.1.37	K00558	K00558: DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]	plant
2.1.2.1	K00600	K00600: glycine hydroxymethyltransferase [EC:2.1.2.1]	plant
2.3.1.1	K00619	K00619: amino-acid N-acetyltransferase [EC:2.3.1.1]	plant
2.3.1.1	K00620	K00620: glutamate N-acetyltransferase / amino-acid N-acetyltransferase [EC:2.3.1.35 2.3.1.1]	plant
2.3.1.1	K14682	K14682: amino-acid N-acetyltransferase [EC:2.3.1.1]	plant
2.3.1.35	K00620	K00620: glutamate N-acetyltransferase / amino-acid N-acetyltransferase [EC:2.3.1.35 2.3.1.1]	plant
2.5.1.-	K02257	K02257: protoheme IX farnesyltransferase [EC:2.5.1.-]	meat
2.5.1.-	K02548	"K02548: 1,4-dihydroxy-2-naphthoate octaprenyltransferase [EC:2.5.1.74 2.5.1.-]"	meat
2.5.1.-	K10764	K10764: O-succinylhomoserine sulfhydrylase [EC:2.5.1.-]	meat
2.5.1.-	K13605	K13605: bacteriochlorophyll c synthase [EC:2.5.1.-]	meat
2.5.1.49	K01740	K01740: O-acetylhomoserine (thiol)-lyase [EC:2.5.1.49]	plant
2.5.1.49	K17069	K17069: O-acetylhomoserine/O-acetylserine sulfhydrylase [EC:2.5.1.49 2.5.1.47]	plant
2.5.1.6	K00789	K00789: S-adenosylmethionine synthetase [EC:2.5.1.6]	plant
2.6.1.1	K00812	K00812: aspartate aminotransferase [EC:2.6.1.1]	plant
2.6.1.1	K00813	K00813: aspartate aminotransferase [EC:2.6.1.1]	plant
2.6.1.1	K11358	K11358: aspartate aminotransferase [EC:2.6.1.1]	plant
2.6.1.19	K00823	K00823: 4-aminobutyrate aminotransferase [EC:2.6.1.19]	meat
2.6.1.19	K07250	K07250: 4-aminobutyrate aminotransferase / (S)-3-amino-2-methylpropionate transaminase [EC:2.6.1.19 2.6.1.22]	meat
2.6.1.19	K14268	K14268: 5-aminovalerate/4-aminobutyrate aminotransferase [EC:2.6.1.48 2.6.1.19]	meat
2.6.1.42	K00826	K00826: branched-chain amino acid aminotransferase [EC:2.6.1.42]	plant
2.6.1.52	K00831	K00831: phosphoserine aminotransferase [EC:2.6.1.52]	plant
2.6.1.57	K00832	K00832: aromatic-amino-acid transaminase [EC:2.6.1.57]	meat
2.6.1.66	K00835	K00835: valine--pyruvate aminotransferase [EC:2.6.1.66]	meat
2.6.1.66	K14260	K14260: alanine-synthesizing transaminase [EC:2.6.1.66 2.6.1.2]	meat
3.3.1.1	K01251	K01251: adenosylhomocysteinase [EC:3.3.1.1]	plant
3.5.1.-	K08281	K08281: nicotinamidase/pyrazinamidase [EC:3.5.1.19 3.5.1.-]	plant
3.5.1.-	K15784	"K15784: N-alpha-acetyl-L-2,4-diaminobutyrate deacetylase [EC:3.5.1.-]"	plant
3.5.1.2	K01425	K01425: glutaminase [EC:3.5.1.2]	meat
3.5.3.6	K01478	K01478: arginine deiminase [EC:3.5.3.6]	meat
4.1.1.12	K09758	K09758: aspartate 4-decarboxylase [EC:4.1.1.12]	meat
4.1.1.15	K01580	K01580: glutamate decarboxylase [EC:4.1.1.15]	meat
4.1.1.8	K01577	K01577: oxalyl-CoA decarboxylase [EC:4.1.1.8]	meat
4.2.1.20	K01695	K01695: tryptophan synthase alpha chain [EC:4.2.1.20]	plant
4.2.1.20	K01696	K01696: tryptophan synthase beta chain [EC:4.2.1.20]	plant
4.2.1.20	K06001	K06001: tryptophan synthase beta chain [EC:4.2.1.20]	plant
4.2.3.5	K01736	K01736: chorismate synthase [EC:4.2.3.5]	plant
4.3.1.17	K01752	K01752: L-serine dehydratase [EC:4.3.1.17]	meat
4.3.1.17	K17989	K17989: L-serine/L-threonine ammonia-lyase [EC:4.3.1.17 4.3.1.19]	meat
4.3.1.19	K01754	K01754: threonine dehydratase [EC:4.3.1.19]	meat
4.3.1.19	K17989	K17989: L-serine/L-threonine ammonia-lyase [EC:4.3.1.17 4.3.1.19]	meat
6.3.1.2	K01915	K01915: glutamine synthetase [EC:6.3.1.2]	plant
