clade_name	WAMP34	WAMP33	WAMP29	WAMP27	WAMP26	WAMP25	WAMP24	WAMP23	WAMP22	WAMP21	WAMP20	WAMP19	WAMP18	WAMP15	WAMP14	WAMP13	WAMP12	WAMP11	WAMP10	WAMP09	WAMP07	WAMP06	WAMP05	WAMP04	WAMP03	WAMP02	TAF018B	TAF018A	TAF017E	TAF017C	TAF017A	TAF008B	PYK005A	PYK004A	PYK003A	PYK002A	PYK001A	OAK005A	OAK004A	OAK003A	OAK002A	OAK001A	ESA008A	ESA007A	ESA006A	ESA004A	ESA003A	ERR3579826	ERR3579825	ERR3579824	ERR3579823	ERR3579822	ERR3579821	ERR3579820	ERR3579819	ERR3307054	ERR3307053	ERR3307052	ERR3307051	ERR3307050	ERR3307049	ERR3307048	ERR3307047	ERR3307046	ERR3307045	CS48	CS47	CS46	CS45	CS44	CS43	CS42	CS40	CS39	CS38	CS37	CS36	CS35	CS34	CS33	CS32	CS31	CS30	CS29	CS28	CS27	CS26	CS24	CS23	CS22	CS21	CS20	CS19	CS18	CS17	CS16	CS15	CS14	CS13	CS12	CS11	CS10	CS09	CS08	CS04	CS03	CS02	CS01	CHS36	CHS31	CHS29	CHS27	CHS26	CHS22	CHS14	CHS03	CHS01	Abusir1594	Abusir1574	Abusir1519	Edo10	Edo9	Edo8	Edo4	Edo3	Edo2	Edo1
Fretibacterium_fastidiosum	0.37128	0.95527	1.38775	0.52922	0.27084	1.32344	0.75629	0.80899	1.14561	0.75807	0.78943	0.52515	0.76355	0.37982	0.70089	1.74711	0.37061	0.44803	0.92247	0.32789	0.63921	0.56178	0.55348	0.43077	0.68562	0.51627	0.02758	0	0	0	0	0.50151	1.32139	0.75578	0.83902	2.28629	0.83512	0.38353	0.01967	1.88494	0.01707	0.08802	0.83942	0.67854	0.99328	0.28483	0.63857	0.24034	0.32504	1.23363	0.30794	0.00928	0.16418	0.43016	1.24282	4.01426	2.93706	1.27127	0.04475	0.04669	0.11299	0.67307	0.17121	0.00278	0.01513	0.59526	0.76722	0.34144	0.03997	0.21415	0.09547	0.17997	1.04026	0.3194	0.25439	0.29607	0.73511	0.53533	0.18312	0.89053	0.55809	0.28133	0.28997	0.01754	0.11124	1.24511	1.49583	0.2043	0.24232	0.39152	0.49606	0.172	0.28391	0	0.49316	0.1577	0.70772	0.04265	0.04778	0.41805	0.90235	0.22363	0.43229	0.32709	2.03409	0.12664	0.82319	0.79723	0.02796	0.73946	0.13814	0.56764	0.49556	0.07698	0.02427	0.2293	1.18636	0.01894	0	0.17452	0.20838	0.23737	0.07863	0.07547	0.00837	0.22787	0.08985
Bacteroidetes_unclassified_SGB1343	0.50888	0.26594	0.20061	0.18517	0.00134	0.12404	1.29801	0.65836	0.61036	0.25417	0.08997	0.16218	0.75797	2.07629	0.67248	0.59602	0.02716	1.77548	0.61932	0.09385	1.38636	0.51572	0.25018	1.68424	1.55932	2.44083	0.48154	0.03227	0	0.33444	0	0.46283	0.07425	0.38742	0.44046	0.54365	0.43949	0.76361	0.29913	0.21334	0.04637	0.00158	0.26008	0.27525	0.39049	0.24343	0.52203	0.14135	0.30475	1.23962	0.26134	1.307	1.44825	0.50027	1.11355	2.573	0.17024	1.15964	0.42228	1.25587	0.15904	0.76671	1.06174	0.42282	0.36886	0	0.18324	5.95235	0.45623	3.99449	0.00206	1.04401	0.50367	0.32624	0.16746	0.15396	0.36871	0.17241	0.45322	0.83776	0.04626	0.91448	0.86917	0.59628	0	0.88113	0.10689	1.57363	1.69645	1.19292	0.36559	0.04435	1.10919	0.10933	0.5945	1.14842	1.49833	3.01825	0.96272	1.0988	0.61574	0.4427	0.6632	0.71407	0.59432	0.05593	0.18542	2.16898	0	0.28618	0.00384	0.06151	0.11944	0.02608	0.01337	0.05552	0.0649	0.05576	0	0.2936	0.00889	0.02136	0	0	0.25337	0.02971	0
Fusobacterium_nucleatum	0.11495	0.16839	0.35898	0.10341	0.00083	0.02359	0.01733	0.13243	0.06155	0.08277	0.13313	0.04199	0.12027	0.31825	0.12991	0.25101	0.03284	0.28871	0.18056	0	0.14619	0.09292	0.03855	0.33888	0.80465	0.06536	0.07969	0	0	0.56896	0	0.00542	0	0.23525	0.07328	0.3889	0.31664	1.47729	1.23022	0.06569	0.67805	0.0625	0.10599	0.10738	0.09575	0.11282	0.17004	0.14416	0.34149	0.22204	0.45031	0.92446	0.13868	0.12119	3.59574	0.69736	0.04301	0.26112	0.29047	1.17976	0.66891	0.54917	0.94999	1.73699	0.06312	0.54871	0.82196	0.95068	0.39708	1.73106	0.17981	0.57739	0.77289	0.58566	0.15206	0.09544	0.13421	0.59854	0.33614	1.24018	0.65407	0.46234	2.01974	1.76523	0.0218	0.29612	0.22662	1.09219	1.72732	0.38969	0.19948	0.11562	1.68239	1.71845	0.03996	0.63006	1.31095	1.39208	0.98634	0.83887	1.28875	1.56792	0.6323	1.69189	1.18332	0.13976	0.0778	1.99145	0.0064	1.31584	0	0.0703	0.08873	0.00183	0.14675	0.15798	0.03906	0.06989	0	0.23583	0.01931	0.01187	0.06109	0.01146	0.00155	0.34668	0.02719
Treponema_maltophilum	0.12279	0.31047	0.33507	0.20086	0.03807	0	0.31059	0.41541	0.42886	0.17651	0.12382	0.16524	0.251	0.31215	0.22074	0.41724	0.07314	0.24952	0.16444	0.03873	0.18506	0.23137	0.10624	0.24702	0.32152	0.23588	0.55479	0.01805	0	3.24949	0	0.19287	0.06376	0.1975	0.63635	0.7471	0.26702	0.30058	0.60678	0.22758	0.0689	0.17563	0.26249	0.37601	0.3279	0.18252	0.28916	0.08969	0.09751	0.38533	0.19487	0.05106	0.15069	0.24237	0.74402	0.79883	0.82971	0.53328	0.02611	0.00477	0.10868	0.3398	0.28711	0.06005	0.02031	0	0.20167	0.96017	0	0.456	0.03291	0.12722	0.76257	0.29567	0.12208	0.11591	0.50264	0.16707	0.06901	0.47176	0.44721	0.24727	0.24964	0.02349	0.02625	0	0.20488	0.35612	0.22538	0.3121	0.15166	0.03544	0.19557	0.02359	0.13441	0.13462	0.46074	0.66654	0.21396	0.50684	0.30086	0.25762	0.37402	0.51384	0.69034	0.04741	0.24043	0.47351	0.01652	0.56953	0.09376	0.16303	0.18624	0.07774	0.03908	0.10681	0.23935	0.02786	0	0.12747	0.10508	0.05487	0.03543	0.03013	0.12981	0.11647	0.01712
Phocaeicola_abscessus	0	0.05581	0.63811	0.09258	0.28882	0.07898	0.18911	0.04501	0.08789	0.37943	0.15074	0.56696	0.10707	0.2179	0	0.80666	0.00835	0.2606	0	0.06853	0.1691	0.00711	0.13253	0.23529	0.55746	0.18358	0.43318	0.07854	0	0.90313	0.01383	0.08954	0.2184	0.20758	1.52424	0.36381	0.20024	0	0.80366	0.04708	0	0.15482	0.37525	1.23524	0.13021	0.12345	0.09563	0	0.19429	1.35427	1.01903	1.15256	1.19529	1.68069	3.29948	2.26145	6.98643	5.10243	0.17279	0.387	0.93876	1.03353	0.46053	0.04336	0.1659	0	0.10817	0.75864	0.30025	2.08925	0.02468	0.50158	1.36865	0.15315	0.11377	1.08299	0.83158	0.63365	0.81211	2.66485	0.26686	1.2795	0.05694	0.03585	0.5099	3.16134	0.3115	1.31974	0.45384	0.93514	0.46406	0.04251	0.26887	0.03675	1.16791	0.62585	1.51984	0.2742	1.23103	0.391	0.78508	0.24376	0.63723	0.05314	1.99296	0.03359	0.80857	0.51976	0.00629	4.56207	0.00351	0.01189	0	0.01876	0.05816	0.07075	0.049	0.06495	0	0.32743	0.32623	0.26826	0.09493	0.31092	0.51728	0.03448	0.49601
GGB3386_SGB4474	0.59143	1.76869	2.14255	0.2871	0.00028	0.06737	1.13342	0.9463	1.40148	0.14521	0.68799	1.82516	1.52165	0.22061	0.32839	1.73396	0.22571	1.54366	0.11638	0.60519	0.2026	5.54821	0.47993	1.53879	1.28341	2.87158	4.74323	5.42716	0	0	0.46724	2.71797	0.02813	0.19701	0.16999	1.04977	0.12731	2.08887	0.00631	0.56713	0.0023	0.28107	0.24814	0.18054	0.41457	0.3177	0.82897	0.07194	0.18108	0	0.23654	0	0.00568	0.06028	0	0.7687	0.33248	0.77802	0	0	0.12227	0.56755	0	0.00319	0.00078	0.3118	0.29909	1.20132	0.02919	0.12385	0.01203	0.21356	1.43893	0.37064	0.22736	0.39414	1.15164	1.41403	0.86749	0.37461	0.28099	0.96728	0.97134	0.0575	0.01311	3.30624	0.62007	0.26934	1.29506	0.02894	0.32429	0.10838	0.42828	0.03619	0.59015	0.07792	0.74739	0.08293	0.06726	0.06017	0.79821	0.21616	0.28492	0.31269	1.64926	0.05252	0.14281	3.00507	0.01172	1.03005	0.09192	0.10618	1.44608	0.16493	0.00636	0.49608	1.77875	0.057	0	0.31641	0.02121	0.11351	0.01502	0.0233	0.01412	0.034	0.00282
GGB51111_SGB71327	4.97276	0.84211	30.71103	22.20856	14.20521	0.70408	3.42146	0.44017	5.45688	24.95019	19.71476	0.00114	1.0561	3.61901	0	7.93491	18.66104	1.35063	13.86541	17.063	2.36777	2.9567	24.80904	1.35371	5.05268	1.50414	0	0	0	15.4931	11.1593	1.14274	42.35101	7.64079	24.27712	0	18.78511	0	0	0	0	0	14.74746	11.34698	1.53831	5.89663	1.26465	0	0	0	0	0	0	0	0	0	0.01025	0.19212	0	0	0	1.04651	0	0	0	17.3498	19.61284	0.02124	3.72	0.86167	17.23297	16.17113	2.12531	18.86028	57.86021	32.05488	18.19226	37.81971	3.01526	9.39649	22.46655	30.94857	4.9169	0.06217	31.56217	2.27045	24.16274	7.19085	0.01147	11.21988	0.9216	35.97644	2.19408	0.28003	45.50454	0.33673	0.32351	5.16129	1.61071	14.41542	3.5892	3.40619	16.07403	0.01381	2.8331	18.45852	36.10818	0	27.43337	0	37.1435	44.38393	28.1041	14.42096	51.28166	42.17575	4.33062	0.61023	0	19.75694	55.77898	36.85632	58.6502	44.08832	0.45293	48.02075	52.17088
Peptostreptococcaceae_bacterium_oral_taxon_113	4.13706	3.35897	5.70061	5.45412	5.63387	0.4134	1.71296	0.10478	7.09864	1.70927	1.94616	1.026	1.76269	0.27617	0	4.73254	4.64809	0.90438	6.95104	1.47341	0.36151	1.16981	2.64627	0.94899	1.22158	0.02091	0	0	0	0	1.95463	0.19715	0.07997	2.36431	1.01505	4.87973	0.14104	0	0	10.56376	0.03295	3.03094	0.17629	0.24254	0.41841	0.11437	0.35822	0	0.01651	0	0.12627	0	0.00048	0	0.04757	0.26384	0.00514	0.17294	0	0	0.01335	0.20048	0	0	0	0.65316	0.97019	0	0.50015	0.00524	0.3553	0.75886	2.04228	0.87605	3.29813	2.6703	2.90633	0.30358	0.3335	0.19204	0.20596	0.40587	0.03368	0.02897	0.54714	0.96225	4.98529	0.78284	0.51111	0.54867	0.57666	1.1134	0.21301	0.00236	1.47682	0.51962	0.73742	0.16544	0.04039	0.85829	0.36559	0.32111	0.84534	0.48372	0.17207	0.38399	2.05011	0	0.99003	1.34161	0.7768	0.80881	0.57082	0.58683	0.09833	0.74049	4.03214	0.14186	0	0.59429	0.30963	1.27192	1.95026	0.289	0	1.05085	0.39715
Treponema_denticola	0.3447	0.44871	0.8161	0.2066	0.02638	0.14442	0.34834	0.48729	0.78474	0.1438	0.25518	0.24325	0.42711	0.31605	0.06147	0.69749	0.11018	0.12489	0.27829	0.04898	0.06515	0.28825	0.11754	0.10544	0.34303	0.01036	0.24942	0	0	1.44127	0	0.08732	0.03639	0.16681	0.25731	0.47836	0.40643	0.25041	0.14681	0.0572	0.01577	0.05342	0.51872	0.1635	0.27533	0.27659	0.33489	0.03737	0.13008	0.34109	0.31431	0.02718	0.03101	0.23361	1.96873	0.01016	0.34732	0.67263	0.00046	0	0.09582	0.25248	0.49259	0.11378	0.02282	0.04416	0.27658	0.13173	0.1295	0	0.053	0.14718	0.41202	0.31107	0.08407	0.20495	0.14489	0.08141	0.2858	0.61029	0.41652	0.47486	0.33118	0.04271	0.00918	0	0.38476	0.4919	0.50333	0.63243	0.06954	0.08934	0.56541	0.11174	0.49328	0.33359	0.70829	0.04182	0.08907	0.55359	0.49172	0.23212	0.36457	0.44315	1.27208	0.04153	0.13508	0.81765	0.00508	0.53268	0.1232	0.13021	0.62	0.30534	0.03516	0.12782	0.58791	0.08347	0	0.22939	0.05268	0.03106	0.03429	0.00748	0.01673	0.0462	0.00768
Eubacterium_saphenum	0.08413	0.21678	0.55178	0.49631	0.05889	0.02797	0.11109	0.22379	0.44465	0.04452	0.62261	0.32693	1.00188	0.17531	0	1.74525	0.24614	0.03999	0.0129	0.26321	0.00164	0	0.03585	0.0388	0.44804	0	0	0	0	0	0	0	0.87751	0.96708	1.44527	3.08458	0.83197	0	0	0	0	0	0.11336	0.13534	0.54329	0.00924	0.40926	0.00588	0.09906	0.12215	0.26596	0	0	0.09275	0.7731	0.00655	4.13464	0.84056	0	0.00437	0.03911	1.70428	0.17215	0	0	6.55643	5.47789	0	0.38078	0.07408	0.21411	0.79488	5.42253	3.34491	1.61682	1.88922	7.27306	2.32314	1.47977	1.82899	7.35489	1.50365	2.12214	0.0338	0.52922	6.3901	3.90148	0.42923	0.74796	0.07105	3.39108	0.19228	1.06731	0.32036	0.92567	0.36009	0.53244	0.1417	0	1.31792	7.40181	0.63581	1.14017	1.13309	3.96864	0.40143	1.54363	4.19597	0.18269	2.0757	0	0.22688	0.43495	0.06827	0.60288	0.72	1.83124	0.29237	0	0.6534	0.34996	0.69423	0.52478	0.81284	0	0.09237	0.38325
